Bug,Releases Slept,Project
OPENMEETINGS-1857,0,OPENMEETINGS
OPENMEETINGS-1654,2,OPENMEETINGS
OPENMEETINGS-1852,0,OPENMEETINGS
OPENMEETINGS-1853,0,OPENMEETINGS
OPENMEETINGS-1550,2,OPENMEETINGS
OPENMEETINGS-1416,0,OPENMEETINGS
OPENMEETINGS-1417,1,OPENMEETINGS
OPENMEETINGS-1775,0,OPENMEETINGS
OPENMEETINGS-1267,0,OPENMEETINGS
OPENMEETINGS-1411,0,OPENMEETINGS
OPENMEETINGS-1380,0,OPENMEETINGS
OPENMEETINGS-1316,0,OPENMEETINGS
OPENMEETINGS-1384,0,OPENMEETINGS
OPENMEETINGS-1705,0,OPENMEETINGS
OPENMEETINGS-1703,7,OPENMEETINGS
OPENMEETINGS-1303,0,OPENMEETINGS
OPENMEETINGS-1410,0,OPENMEETINGS
OPENMEETINGS-1781,0,OPENMEETINGS
OPENMEETINGS-1434,0,OPENMEETINGS
OPENMEETINGS-1432,0,OPENMEETINGS
OPENMEETINGS-1438,0,OPENMEETINGS
OPENMEETINGS-1737,6,OPENMEETINGS
OPENMEETINGS-1870,1,OPENMEETINGS
OPENMEETINGS-1330,0,OPENMEETINGS
OPENMEETINGS-1601,1,OPENMEETINGS
OPENMEETINGS-1547,0,OPENMEETINGS
OPENMEETINGS-1930,10,OPENMEETINGS
OPENMEETINGS-1882,0,OPENMEETINGS
SYNCOPE-1030,0,SYNCOPE
SYNCOPE-1024,7,SYNCOPE
SYNCOPE-399,0,SYNCOPE
SYNCOPE-309,0,SYNCOPE
SYNCOPE-801,0,SYNCOPE
SYNCOPE-394,0,SYNCOPE
SYNCOPE-397,0,SYNCOPE
SYNCOPE-1217,0,SYNCOPE
SYNCOPE-1022,0,SYNCOPE
SYNCOPE-1207,0,SYNCOPE
SYNCOPE-1206,0,SYNCOPE
SYNCOPE-418,0,SYNCOPE
SYNCOPE-792,0,SYNCOPE
SYNCOPE-1001,0,SYNCOPE
SYNCOPE-412,0,SYNCOPE
SYNCOPE-798,0,SYNCOPE
SYNCOPE-1043,0,SYNCOPE
SYNCOPE-1042,0,SYNCOPE
SYNCOPE-417,0,SYNCOPE
